,Stkcd,year,NCSKEW,ControlNCSKEW,DUVOL,ControlDUVOL,ANALYST,Dturn,RET,SIGMA,PB,ROA_TTM,LEV,SIZE,ACCM,INS,Indcd
0,000002,2018,-0.2830945624318963,0.06528348872425573,-0.2994747857314347,-0.21312249162272884,3.828641396489095,0.014931916666666697,0.00143247079498001,0.04797832391920994,1.0157357786833623,0.03658,0.8458559999999999,27.78403994214072,0.0122884462532648,0.7837550000000001,K70
1,000002,2019,0.6417424270186936,-0.2830945624318963,-0.05671870019722931,-0.2994747857314347,3.912023005428147,0.007954166666666651,0.0009719403795610223,0.032718357360357976,1.0462724451596297,0.033839,0.84359,28.05535989480649,0.00350383194916392,0.740112,K70
2,000002,2020,0.2374197766658712,0.6417424270186936,-0.33313347788149344,-0.05671870019722931,3.828641396489095,0.05840583333333335,-0.007576021909130862,0.04032309483919517,0.9926543577526304,0.032951999999999995,0.8128350000000001,28.179101743491806,0.00120458002946879,0.691104,K70
3,000004,2018,-0.32376620331995914,-0.7102659104021708,-0.14700371715612132,-0.976750438187777,,-0.2404518833333333,-0.0024496997353543647,0.045652939981672636,4.270073616069141,-0.069716,0.477966,19.40964294336421,0.16073912961863698,0.45632700000000004,C27
4,000004,2019,-2.3694763265761947,-0.32376620331995914,-1.6146771050787363,-0.14700371715612132,,0.10299233333333337,0.0024907446215517216,0.05288814825195472,1.329375339821571,-0.0039049999999999996,0.060243,19.67680226667089,0.313299145360173,0.441,C27
5,000004,2020,-1.3478682140066278,-2.3694763265761947,-0.4787309408198952,-1.6146771050787363,,0.7718007499999999,-0.007073657913528522,0.09021561724541326,1.6372694929212652,0.040542,0.068264,21.12505102661252,0.0382043897732034,0.474332,I65
6,000006,2018,-0.028917333142414608,0.5534044966066493,-0.10976032480389426,-0.08553835966687158,1.6094379124341005,-0.02054979999999995,-0.0060657704407431285,0.045281510734622735,1.0447552242984992,0.069209,0.5282359999999999,23.298921622382675,0.0646519757246952,0.41778000000000004,K70
7,000006,2019,0.3858909617389373,-0.028917333142414608,-0.07324412732605742,-0.10976032480389426,0.6931471805599453,-0.07327236666666673,-0.003462244852144478,0.0233646426147386,1.0041703193362033,0.05758200000000001,0.544612,23.328672434520968,0.0749459716952372,0.435418,K70
8,000006,2020,1.2845909253831531,0.3858909617389373,0.4542028167601728,-0.07324412732605742,0.6931471805599453,0.20225091666666675,-0.00433684398789832,0.057076907132832276,0.9828618381285524,0.057914999999999994,0.49218500000000004,23.4798090692308,0.052304450476948,0.41166899999999995,K70
9,000008,2018,0.06873686705102901,0.9229548728902476,-0.5431898561340964,0.20115441199395093,1.0986122886681098,0.08261489393939392,-0.013214487136034144,0.06806679106689265,1.3084141497139807,0.032338,0.29251,23.091480908006524,0.0516875333260769,0.4546540000000001,C37
10,000008,2019,1.0539096101156704,0.06873686705102901,-0.3102103317436821,-0.5431898561340964,2.079441541679836,0.0776628560606061,-0.005850520833046787,0.032400091063770904,1.1975416864261046,0.040639999999999996,0.370962,23.07143260288051,0.0113897684154307,0.427901,C37
11,000008,2020,-3.6432606825272034,1.0539096101156704,-1.6552473088173532,-0.3102103317436821,1.0986122886681098,-0.050067000000000056,-0.01358799045794695,0.02829275191077796,1.029484434195355,-0.07172200000000001,0.480167,23.211877543108358,0.0936834951379114,0.427683,C37
12,000009,2018,-2.5751573961650704,-1.9764178222321973,-1.1709422046144642,-1.0248681761470215,0.6931471805599453,-0.1323629166666667,-0.0025398233389808344,0.04383811464533327,0.9607855382560782,0.023352,0.649896,24.02314876253184,0.0994784947449938,0.20914499999999997,S90
13,000009,2019,0.6821860419304471,-2.5751573961650704,0.3460265127223153,-1.1709422046144642,0.6931471805599453,0.1356321666666667,0.006500094269508127,0.058332232374340126,1.1716543994451043,0.023705,0.645559,24.11944401366065,0.0228946666855599,0.219905,S90
14,000009,2020,-1.3921169327438188,0.6821860419304471,-1.356169693401441,0.3460265127223153,0.6931471805599453,0.4023508333333333,-0.001890286325077464,0.055513109165315655,1.1917814749487534,0.034408,0.584217,24.131534670407127,0.0411851566626672,0.27076300000000003,S90
15,000010,2018,-0.0798611677795014,0.3429721463689473,-0.21551259914610213,0.3521159487143065,1.0986122886681098,-0.1995590833333332,-0.002657875310836097,0.05955315738005895,1.4050943099300826,-0.22780300000000003,0.8195049999999999,21.85632884322976,0.22217049522841398,0.42608599999999996,E48
16,000010,2019,-0.20664104336357614,-0.0798611677795014,-0.3868134428093011,-0.21551259914610213,1.0986122886681098,-0.1964826666666667,-0.0042757269159378495,0.0613862201472319,1.3018239855862048,0.033345,0.8243729999999999,21.90905785706952,,0.45123,E48
17,000010,2020,-0.4917500809053429,-0.20664104336357614,-0.6289923405165677,-0.3868134428093011,1.0986122886681098,0.07674349999999999,-0.003498654917668495,0.0501697191819258,1.4296763641614447,0.019495,0.7695270000000001,22.179939449414096,,0.43288699999999997,E48
18,000011,2018,0.21964301413655787,0.07653348433834176,-0.471370768130719,-0.05143279954513525,,-0.5574004166666665,-0.004121761393603626,0.043262760240528116,1.091920010307725,0.105705,0.42593100000000006,22.408429129043945,0.10591799189906201,0.6428619999999999,K70
