,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.603***(-8.43),-0.697***(-3.76),-11.562***(-11.0),-5.684***(-11.86)
ControlCrashRisk,0.021(1.41),0.028(1.28),-0.328***(-4.05),-0.326***(-4.07)
ANALYST,0.027(1.17),0.035**(2.12),0.168***(32.78),0.073***(24.32)
Dturn,-0.047*(-1.86),-0.028(-1.22),-0.155***(-3.16),-0.088***(-3.49)
RET,8.845***(2.83),5.707*(1.91),-9.605(-1.59),-4.177*(-1.85)
SIGMA,2.137**(2.05),0.834(1.28),5.182***(3.57),2.69***(3.73)
PB,0.046***(3.62),0.026***(3.76),0.224***(14.83),0.11***(9.2)
ROA_TTM,-0.331(-1.2),-0.16(-0.93),0.787***(6.08),0.452***(10.49)
LEV,-0.244***(-8.99),-0.122***(-5.43),-0.437***(-10.35),-0.135***(-7.13)
SIZE,0.04***(9.17),0.002(0.34),0.424***(10.19),0.189***(10.57)
ACCM,0.088(0.64),0.184(1.29),0.665***(7.07),0.479***(3.95)
INS,-0.049(-1.04),-0.038*(-1.77),0.241**(2.43),0.067(1.07)
EX_INDAT,0.018***(5.16),0.006**(2.3),0.002(0.64),-0.0(-0.07)
AT,0.022***(4.44),0.009**(2.3),0.087***(2.72),0.046***(2.99)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.68,10.69,78.81,69.92
N_obs,8039,8039,8039,8039
