,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.576***(-6.24),-0.643***(-2.98),-11.436***(-9.78),-5.802***(-14.75)
ControlCrashRisk,0.021(1.56),0.029(1.35),-0.327***(-3.86),-0.325***(-3.92)
ANALYST,0.027(1.27),0.035**(2.27),0.161***(42.11),0.066***(10.47)
Dturn,-0.055**(-2.01),-0.031(-1.33),-0.142***(-3.24),-0.085***(-4.17)
RET,11.33***(3.43),7.012**(2.15),-8.716(-1.39),-3.599(-1.45)
SIGMA,1.311(1.25),0.347(0.56),5.156***(3.64),2.664***(3.5)
PB,0.044***(3.11),0.026***(3.63),0.234***(17.37),0.113***(8.4)
ROA_TTM,-0.431**(-2.37),-0.211(-1.64),0.723***(4.56),0.414***(7.46)
LEV,-0.242***(-4.8),-0.113***(-3.29),-0.333***(-2.99),-0.094***(-13.83)
SIZE,0.035***(4.61),-0.003(-0.41),0.427***(9.11),0.199***(14.87)
ACCM,-0.095(-0.44),0.065(0.36),0.641***(4.44),0.469***(4.04)
INS,-0.073(-1.51),-0.048**(-2.09),0.182***(3.05),0.019(1.13)
EX_INDAT,0.109***(5.95),0.043***(2.98),-0.026*(-1.91),-0.019(-1.22)
AT,0.019***(23.95),0.011***(6.28),0.074**(2.08),0.041**(2.12)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.38,9.89,65.29,58.4
N_obs,7402,7402,7402,7402
