,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.598***(-8.33),-0.69***(-3.78),-11.573***(-11.23),-5.685***(-12.05)
ControlCrashRisk,0.02(1.35),0.028(1.26),-0.329***(-4.05),-0.325***(-4.07)
ANALYST,0.027(1.16),0.035**(2.12),0.169***(34.42),0.073***(25.25)
Dturn,-0.048*(-1.87),-0.028(-1.23),-0.155***(-3.2),-0.089***(-3.54)
RET,8.845***(2.72),5.714*(1.88),-9.65(-1.6),-4.189*(-1.84)
SIGMA,2.114**(2.01),0.829(1.27),5.188***(3.57),2.699***(3.75)
PB,0.047***(3.84),0.026***(4.0),0.225***(14.27),0.11***(8.54)
ROA_TTM,-0.331(-1.19),-0.159(-0.92),0.791***(6.02),0.454***(10.41)
LEV,-0.245***(-8.62),-0.122***(-5.27),-0.439***(-11.5),-0.135***(-6.23)
SIZE,0.04***(8.49),0.002(0.34),0.425***(10.58),0.189***(10.95)
ACCM,0.089(0.63),0.185(1.28),0.67***(6.61),0.481***(3.85)
INS,-0.05(-1.06),-0.038*(-1.79),0.231***(2.7),0.063(1.16)
EX_INDAT,0.048***(6.91),0.012***(3.25),-0.004**(-2.21),-0.007*(-1.7)
AT,0.023***(4.56),0.01**(2.34),0.088***(2.82),0.046***(3.13)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.12,10.43,78.8,69.94
N_obs,8039,8039,8039,8039
