,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.603***(-6.83),-0.678***(-3.21),-11.349***(-10.08),-5.531***(-10.62)
ControlCrashRisk,0.023(1.57),0.031(1.43),-0.324***(-3.94),-0.323***(-4.01)
ANALYST,0.031(1.3),0.036**(2.08),0.176***(43.77),0.078***(17.75)
Dturn,-0.049*(-1.77),-0.028(-1.17),-0.153***(-3.04),-0.091***(-3.61)
RET,9.428***(3.19),6.123**(2.1),-9.448(-1.57),-4.083*(-1.69)
SIGMA,1.679(1.58),0.524(0.82),4.887***(3.35),2.472***(3.32)
PB,0.048***(3.65),0.028***(4.58),0.23***(16.11),0.113***(9.8)
ROA_TTM,-0.351(-1.31),-0.182(-1.03),0.735***(6.74),0.421***(7.49)
LEV,-0.225***(-7.56),-0.112***(-4.92),-0.322***(-10.76),-0.073*(-1.65)
SIZE,0.039***(5.85),0.0(0.0),0.413***(9.46),0.181***(9.93)
ACCM,-0.023(-0.18),0.111(0.83),0.596***(6.85),0.442***(4.15)
INS,-0.056(-1.23),-0.039*(-1.79),0.235***(2.61),0.062(1.22)
EX_INDAT_read,0.268***(3.66),0.123***(2.6),0.057(1.15),0.042(1.1)
AT,0.023***(11.07),0.011***(5.23),0.085**(2.45),0.045***(2.62)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.61,11.11,73.23,64.96
N_obs,7830,7830,7830,7830
