,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.523***(-7.75),-0.636***(-3.39),-11.304***(-9.77),-5.504***(-10.34)
ControlCrashRisk,0.024(1.64),0.031(1.45),-0.324***(-3.93),-0.323***(-4.02)
ANALYST,0.03(1.28),0.036**(2.08),0.176***(44.24),0.078***(17.3)
Dturn,-0.046*(-1.69),-0.028(-1.14),-0.152***(-2.98),-0.09***(-3.5)
RET,9.642***(3.34),6.211**(2.13),-9.334(-1.54),-4.031*(-1.69)
SIGMA,1.742*(1.65),0.549(0.86),4.914***(3.38),2.486***(3.33)
PB,0.048***(3.81),0.028***(4.84),0.229***(15.81),0.113***(9.71)
ROA_TTM,-0.359(-1.38),-0.185(-1.07),0.729***(6.55),0.42***(7.66)
LEV,-0.227***(-7.81),-0.113***(-5.01),-0.32***(-10.05),-0.073*(-1.67)
SIZE,0.036***(6.51),-0.002(-0.26),0.411***(9.18),0.18***(9.66)
ACCM,-0.02(-0.16),0.113(0.84),0.595***(6.79),0.444***(4.12)
INS,-0.056(-1.24),-0.039*(-1.8),0.244***(2.75),0.061(1.21)
EX_INDAT,0.014***(11.41),0.006***(5.54),0.003**(2.16),0.001(0.96)
AT,0.021***(9.46),0.011***(4.71),0.084**(2.4),0.044**(2.55)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.02,0.02,0.17,0.15
f_statistic,9.08,11.21,73.28,64.93
N_obs,7830,7830,7830,7830
