,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.462***(-3.27),-0.498(-1.59),-9.524***(-6.72),-4.919***(-14.36)
ControlCrashRisk,0.021(1.52),0.026(1.18),-0.328***(-3.92),-0.327***(-4.03)
ANALYST,0.023(1.09),0.032**(2.44),0.179***(39.81),0.082***(10.28)
Dturn,-0.062***(-2.67),-0.034(-1.6),-0.123**(-2.35),-0.077***(-3.06)
RET,12.973***(3.31),7.92**(2.26),-8.962(-1.58),-3.939*(-1.92)
SIGMA,0.674(0.52),-0.091(-0.13),4.964***(3.39),2.328***(2.79)
PB,0.035**(2.0),0.019*(1.94),0.222***(17.41),0.1***(9.57)
ROA_TTM,-0.234*(-1.84),-0.092(-1.54),0.886***(4.28),0.559***(8.41)
LEV,-0.217***(-4.59),-0.098***(-2.8),-0.421***(-16.93),-0.179**(-1.98)
SIZE,0.04***(3.44),-0.004(-0.45),0.354***(6.24),0.168***(16.09)
ACCM,-0.201(-0.72),0.036(0.19),0.386***(3.68),0.403***(3.49)
INS,-0.079(-1.38),-0.046*(-1.68),0.236**(2.36),0.026(0.54)
EX_INDAT_read,0.251(1.45),0.081(0.59),-0.059*(-1.71),-0.079(-1.01)
AT,0.004(0.6),0.003(0.81),0.04(1.08),0.026(1.28)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,5.71,7.85,51.04,44.87
N_obs,6527,6527,6527,6527
