,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.704***(-6.13),-0.736***(-3.12),-11.578***(-11.38),-5.685***(-12.34)
ControlCrashRisk,0.02(1.34),0.028(1.27),-0.329***(-4.04),-0.326***(-4.06)
ANALYST,0.027(1.18),0.035**(2.1),0.169***(33.75),0.073***(25.23)
Dturn,-0.049*(-1.95),-0.029(-1.25),-0.155***(-3.17),-0.088***(-3.53)
RET,8.557***(2.78),5.609*(1.92),-9.683(-1.55),-4.185*(-1.72)
SIGMA,2.121**(2.03),0.83(1.28),5.177***(3.57),2.688***(3.76)
PB,0.047***(3.64),0.026***(3.82),0.225***(15.07),0.11***(9.08)
ROA_TTM,-0.328(-1.16),-0.159(-0.91),0.789***(6.11),0.452***(10.16)
LEV,-0.244***(-9.04),-0.122***(-5.48),-0.437***(-9.36),-0.134***(-8.39)
SIZE,0.044***(6.8),0.003(0.47),0.425***(10.13),0.189***(10.52)
ACCM,0.09(0.66),0.185(1.29),0.666***(7.34),0.478***(4.02)
INS,-0.05(-1.05),-0.038*(-1.79),0.241**(2.01),0.069(0.93)
EX_INDAT_read,0.589(1.49),0.222(0.95),0.083(0.23),0.02(0.08)
AT,0.022***(5.62),0.009***(2.57),0.087***(2.6),0.045***(2.83)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.44,10.62,78.81,69.93
N_obs,8039,8039,8039,8039
