,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.672***(-8.51),-0.738***(-3.98),-11.607***(-10.56),-5.605***(-12.2)
ControlCrashRisk,0.019(1.32),0.027(1.32),-0.33***(-4.05),-0.325***(-4.03)
ANALYST,0.028(1.18),0.036**(2.09),0.174***(25.67),0.073***(13.91)
Dturn,-0.048*(-1.77),-0.028(-1.17),-0.152***(-3.2),-0.087***(-3.57)
RET,7.212**(2.33),4.736*(1.67),-10.337*(-1.88),-4.593**(-2.25)
SIGMA,2.3**(2.16),0.913(1.38),5.021***(3.53),2.656***(3.77)
PB,0.051***(4.12),0.029***(4.59),0.227***(15.59),0.112***(9.13)
ROA_TTM,-0.309(-1.03),-0.142(-0.77),0.776***(6.25),0.441***(13.74)
LEV,-0.227***(-7.61),-0.111***(-5.47),-0.427***(-20.23),-0.145***(-6.56)
SIZE,0.044***(9.39),0.004(0.73),0.427***(10.04),0.185***(11.25)
ACCM,0.105(0.92),0.21(1.61),0.632***(6.69),0.461***(3.8)
INS,-0.055(-1.17),-0.041*(-1.78),0.165*(1.89),0.05(0.98)
EX_INDAT_read,0.401***(2.93),0.186**(2.08),0.045(0.26),0.028(0.24)
AT,0.021***(4.93),0.008*(1.94),0.088***(2.57),0.045***(2.73)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.56,10.8,81.68,72.05
N_obs,8161,8161,8161,8161
