,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.525***(-5.63),-0.625***(-2.71),-11.459***(-10.06),-5.82***(-15.13)
ControlCrashRisk,0.02(1.56),0.029(1.35),-0.327***(-3.87),-0.325***(-3.92)
ANALYST,0.027(1.27),0.035**(2.26),0.161***(40.94),0.066***(10.36)
Dturn,-0.057**(-2.03),-0.032(-1.34),-0.141***(-3.23),-0.085***(-4.27)
RET,11.266***(3.46),6.991**(2.15),-8.636(-1.37),-3.546(-1.41)
SIGMA,1.319(1.26),0.351(0.57),5.145***(3.65),2.655***(3.49)
PB,0.045***(3.07),0.026***(3.6),0.233***(19.15),0.112***(8.78)
ROA_TTM,-0.429**(-2.3),-0.211(-1.6),0.719***(4.53),0.411***(7.54)
LEV,-0.242***(-4.79),-0.113***(-3.27),-0.331***(-2.98),-0.093***(-13.97)
SIZE,0.04***(4.32),-0.001(-0.11),0.427***(9.24),0.199***(15.82)
ACCM,-0.091(-0.43),0.067(0.37),0.64***(4.44),0.468***(4.08)
INS,-0.075(-1.55),-0.048**(-2.11),0.185***(2.56),0.022(0.86)
EX_INDAT_read,0.131***(3.23),0.053(1.63),-0.023(-0.75),-0.014(-0.37)
AT,0.02***(46.67),0.011***(6.74),0.074**(2.05),0.041**(2.11)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.27,9.86,65.26,58.36
N_obs,7402,7402,7402,7402
