,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.607***(-7.53),-0.664***(-3.41),-11.334***(-10.1),-5.514***(-10.78)
ControlCrashRisk,0.024*(1.66),0.031(1.44),-0.324***(-3.93),-0.323***(-4.02)
ANALYST,0.03(1.29),0.036**(2.09),0.176***(48.37),0.078***(17.74)
Dturn,-0.046*(-1.67),-0.027(-1.14),-0.151***(-2.95),-0.09***(-3.46)
RET,9.7***(3.22),6.22**(2.1),-9.381(-1.56),-4.055*(-1.71)
SIGMA,1.688(1.6),0.526(0.82),4.889***(3.34),2.478***(3.33)
PB,0.048***(4.04),0.028***(5.2),0.231***(15.19),0.114***(8.98)
ROA_TTM,-0.362(-1.39),-0.185(-1.07),0.732***(6.53),0.422***(7.58)
LEV,-0.227***(-7.61),-0.113***(-4.92),-0.324***(-12.1),-0.075(-1.61)
SIZE,0.035***(6.24),-0.002(-0.28),0.413***(9.58),0.181***(10.11)
ACCM,-0.021(-0.16),0.113(0.82),0.6***(6.36),0.447***(4.02)
INS,-0.055(-1.25),-0.039*(-1.81),0.229***(2.97),0.052(1.21)
EX_INDAT,0.118***(8.77),0.043***(5.38),0.014(1.3),0.002(0.28)
AT,0.022***(11.36),0.011***(5.15),0.085**(2.48),0.045***(2.64)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.85,11.0,73.19,64.88
N_obs,7830,7830,7830,7830
