,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.335***(-3.23),-0.448(-1.61),-9.512***(-6.75),-4.922***(-14.07)
ControlCrashRisk,0.021(1.52),0.026(1.19),-0.329***(-3.92),-0.327***(-4.03)
ANALYST,0.023(1.09),0.032**(2.43),0.179***(38.98),0.082***(10.16)
Dturn,-0.062***(-2.65),-0.034(-1.59),-0.122**(-2.34),-0.076***(-3.04)
RET,12.901***(3.33),7.903**(2.28),-8.947(-1.57),-3.905*(-1.85)
SIGMA,0.691(0.53),-0.084(-0.11),4.976***(3.4),2.334***(2.8)
PB,0.035**(2.01),0.019**(1.97),0.222***(17.49),0.1***(9.31)
ROA_TTM,-0.23*(-1.83),-0.091(-1.55),0.883***(4.22),0.556***(7.92)
LEV,-0.217***(-4.64),-0.098***(-2.83),-0.425***(-18.66),-0.183**(-2.08)
SIZE,0.039***(3.26),-0.004(-0.53),0.355***(6.27),0.168***(16.49)
ACCM,-0.199(-0.71),0.036(0.19),0.39***(3.69),0.406***(3.51)
INS,-0.079(-1.39),-0.046*(-1.7),0.228**(2.28),0.021(0.46)
EX_INDAT_read,0.063(1.13),0.017(0.38),-0.04**(-2.23),-0.041(-1.35)
AT,0.003(0.59),0.003(0.83),0.04(1.09),0.026(1.29)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,5.65,7.82,51.09,44.98
N_obs,6527,6527,6527,6527
