,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.647***(-8.67),-0.725***(-4.0),-11.612***(-10.84),-5.607***(-12.7)
ControlCrashRisk,0.019(1.3),0.027(1.31),-0.329***(-4.05),-0.325***(-4.03)
ANALYST,0.027(1.17),0.035**(2.11),0.174***(29.23),0.074***(15.09)
Dturn,-0.048*(-1.76),-0.028(-1.17),-0.151***(-3.13),-0.087***(-3.48)
RET,7.266**(2.22),4.768(1.64),-10.317*(-1.88),-4.562**(-2.24)
SIGMA,2.275**(2.14),0.902(1.37),5.016***(3.55),2.655***(3.83)
PB,0.052***(4.4),0.029***(4.95),0.227***(15.14),0.112***(8.56)
ROA_TTM,-0.308(-1.03),-0.142(-0.77),0.776***(6.08),0.441***(13.18)
LEV,-0.228***(-7.53),-0.112***(-5.37),-0.429***(-26.34),-0.146***(-5.8)
SIZE,0.043***(9.41),0.003(0.64),0.427***(10.26),0.186***(11.77)
ACCM,0.115(0.94),0.214(1.6),0.635***(6.05),0.463***(3.61)
INS,-0.055(-1.18),-0.041*(-1.78),0.163**(2.05),0.048(1.07)
EX_INDAT,0.043***(3.4),0.018***(2.56),0.003(0.11),-0.002(-0.11)
AT,0.022***(4.36),0.008*(1.87),0.088***(2.65),0.046***(2.85)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.27,10.59,81.67,72.04
N_obs,8161,8161,8161,8161
