,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.66***(-8.63),-0.731***(-3.98),-11.613***(-10.64),-5.609***(-12.43)
ControlCrashRisk,0.019(1.32),0.027(1.32),-0.329***(-4.05),-0.325***(-4.03)
ANALYST,0.028(1.18),0.036**(2.1),0.174***(27.24),0.074***(14.59)
Dturn,-0.048*(-1.76),-0.028(-1.17),-0.151***(-3.15),-0.087***(-3.49)
RET,7.196**(2.27),4.734*(1.65),-10.289*(-1.88),-4.556**(-2.24)
SIGMA,2.278**(2.15),0.903(1.37),5.019***(3.54),2.655***(3.82)
PB,0.051***(4.29),0.029***(4.83),0.228***(15.79),0.112***(8.96)
ROA_TTM,-0.309(-1.04),-0.142(-0.78),0.775***(6.19),0.441***(13.61)
LEV,-0.228***(-7.67),-0.111***(-5.46),-0.429***(-24.25),-0.147***(-6.11)
SIZE,0.043***(9.85),0.003(0.66),0.427***(10.06),0.186***(11.43)
ACCM,0.114(0.96),0.214(1.61),0.635***(6.1),0.463***(3.62)
INS,-0.055(-1.17),-0.041*(-1.78),0.161*(1.92),0.047(0.98)
EX_INDAT,0.026***(2.98),0.011**(2.01),-0.001(-0.1),-0.001(-0.18)
AT,0.021***(4.38),0.008*(1.85),0.089***(2.6),0.046***(2.78)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.53,10.73,81.67,72.05
N_obs,8161,8161,8161,8161
