,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.67***(-8.24),-0.736***(-3.89),-11.611***(-10.68),-5.607***(-12.41)
ControlCrashRisk,0.019(1.32),0.027(1.32),-0.329***(-4.05),-0.325***(-4.03)
ANALYST,0.028(1.17),0.036**(2.09),0.174***(26.36),0.074***(14.1)
Dturn,-0.048*(-1.77),-0.028(-1.17),-0.151***(-3.19),-0.087***(-3.55)
RET,7.247**(2.33),4.755*(1.68),-10.307*(-1.88),-4.574**(-2.25)
SIGMA,2.298**(2.15),0.912(1.37),5.018***(3.53),2.654***(3.78)
PB,0.051***(4.16),0.029***(4.65),0.227***(15.61),0.112***(9.09)
ROA_TTM,-0.31(-1.03),-0.142(-0.77),0.776***(6.24),0.441***(13.84)
LEV,-0.227***(-7.61),-0.111***(-5.47),-0.429***(-20.81),-0.146***(-6.54)
SIZE,0.044***(9.06),0.004(0.7),0.427***(10.14),0.185***(11.44)
ACCM,0.107(0.93),0.21(1.62),0.634***(6.65),0.463***(3.81)
INS,-0.055(-1.17),-0.041*(-1.78),0.163*(1.88),0.049(0.95)
EX_INDAT_read,0.447**(2.36),0.199(1.6),0.009(0.04),0.004(0.03)
AT,0.022***(4.97),0.008**(1.97),0.088***(2.58),0.045***(2.74)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.46,10.72,81.67,72.04
N_obs,8161,8161,8161,8161
