,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.522***(-5.6),-0.618***(-2.6),-11.416***(-9.95),-5.802***(-15.37)
ControlCrashRisk,0.02(1.54),0.029(1.34),-0.327***(-3.89),-0.325***(-3.92)
ANALYST,0.027(1.27),0.035**(2.26),0.161***(45.81),0.066***(10.54)
Dturn,-0.057**(-2.02),-0.032(-1.34),-0.14***(-3.2),-0.085***(-4.22)
RET,11.315***(3.4),7.01**(2.14),-8.718(-1.39),-3.572(-1.44)
SIGMA,1.302(1.25),0.345(0.56),5.166***(3.67),2.666***(3.54)
PB,0.045***(3.17),0.027***(3.72),0.234***(19.17),0.113***(8.69)
ROA_TTM,-0.432**(-2.3),-0.212(-1.6),0.726***(4.55),0.414***(7.83)
LEV,-0.243***(-4.75),-0.114***(-3.24),-0.329***(-2.94),-0.092***(-14.67)
SIZE,0.039***(4.3),-0.001(-0.17),0.426***(9.18),0.198***(15.89)
ACCM,-0.091(-0.43),0.067(0.37),0.643***(4.33),0.469***(4.02)
INS,-0.074(-1.53),-0.048**(-2.1),0.173**(2.55),0.018(0.72)
EX_INDAT_read,0.229***(2.91),0.085(1.24),-0.112***(-2.68),-0.052(-0.71)
AT,0.02***(42.37),0.011***(6.52),0.074**(2.07),0.041**(2.13)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.08,9.74,65.33,58.39
N_obs,7402,7402,7402,7402
