,Stkcd,year,DUVOL
0,000002,2018,-0.21312249162272884
1,000002,2019,-0.2994747857314347
2,000002,2020,-0.05671870019722931
3,000002,2021,-0.33313347788149344
4,000004,2018,-0.976750438187777
5,000004,2019,-0.14700371715612132
6,000004,2020,-1.6146771050787363
7,000004,2021,-0.4787309408198952
8,000006,2018,-0.08553835966687157
9,000006,2019,-0.10976032480389426
10,000006,2020,-0.07324412732605742
11,000006,2021,0.4542028167601728
12,000008,2018,0.20115441199395095
13,000008,2019,-0.5431898561340964
14,000008,2020,-0.31021033174368207
15,000008,2021,-1.6552473088173532
16,000009,2018,-1.0248681761470215
17,000009,2019,-1.1709422046144642
18,000009,2020,0.34602651272231527
19,000009,2021,-1.3561696934014407
20,000010,2018,0.35211594871430646
21,000010,2019,-0.21551259914610213
22,000010,2020,-0.38681344280930113
23,000010,2021,-0.6289923405165677
24,000011,2018,-0.05143279954513525
25,000011,2019,-0.471370768130719
26,000011,2020,-0.5128298717719002
27,000011,2021,-0.5547382625571924
28,000012,2018,-0.19677582390404166
29,000012,2019,-1.3672435410671673
30,000012,2020,-0.5550472883366664
31,000012,2021,-0.3477028322129921
32,000014,2018,-0.557132545662989
33,000014,2019,-0.8910863123186332
34,000014,2020,0.17502854218414332
35,000014,2021,0.39184787976065555
36,000016,2018,-0.368840556297418
37,000016,2019,-1.5580912929261095
38,000016,2020,-1.5402935656225083
39,000016,2021,-0.5351418393392015
40,000017,2018,-1.4075129754995845
41,000017,2019,-1.879926276344938
42,000017,2020,0.4173171215886875
43,000017,2021,-1.04213676702293
44,000018,2018,0.5915028655276323
45,000018,2019,1.1846648357002714
46,000018,2020,
47,000019,2018,-0.8108223554004156
48,000019,2019,-0.655358345749179
49,000019,2020,-1.6529456543374048
50,000019,2021,-0.38040570237147214
51,000020,2018,-1.621186814697615
52,000020,2019,-0.6577935616514214
53,000020,2020,-0.9688685118816224
54,000020,2021,-0.08651465208674136
55,000021,2018,-0.23115943533181563
56,000021,2019,-1.8453143634252753
57,000021,2020,-0.9195668746680874
58,000021,2021,-0.6503192190886092
59,000022,2018,0.14762460863181345
60,000023,2018,-0.10386979459691019
61,000023,2019,-1.184174370807719
62,000023,2020,-0.7407810377605358
63,000023,2021,0.6636139144391596
64,000025,2018,-1.2530401097616657
65,000025,2019,-1.5699714997647198
66,000025,2020,-1.2058306215687595
67,000025,2021,0.48069780124679606
68,000026,2018,-0.734628309592022
69,000026,2019,-1.4112493521389524
70,000026,2020,-1.0866382253216724
71,000026,2021,0.3341383865949341
72,000027,2018,-0.6614538412405551
73,000027,2019,-0.8180387786812603
74,000027,2020,-0.2938597062923229
75,000027,2021,-0.9740086356713742
76,000028,2018,0.07630072345667918
77,000028,2019,-0.18902343401940225
78,000028,2020,0.12591709313128047
79,000028,2021,0.21735467694798255
80,000029,2020,
81,000029,2021,-0.5635959018617691
82,000030,2018,-1.34483354569016
83,000030,2019,-1.0949684593352857
84,000030,2020,-1.1185978819140294
85,000030,2021,-0.3321433025337049
86,000031,2018,0.01899831109071339
87,000031,2019,-1.2781682211510788
88,000031,2020,0.32337507697252843
89,000031,2021,-0.05631786710290265
90,000032,2018,-0.09824722580587593
91,000032,2019,-1.111938316149133
92,000032,2020,-0.7442197163353288
93,000032,2021,-1.3344340425701573
94,000034,2018,-0.6089278656580978
95,000034,2019,-1.0744522614627279
96,000034,2020,0.01728763755147115
97,000034,2021,0.017168503208688766
98,000035,2018,1.472081732743615
99,000035,2019,-1.1235132419692784
100,000035,2020,0.4331598079820181
101,000035,2021,-0.6682937526463222
102,000036,2018,-0.7344419685560529
103,000036,2019,-0.15307066705086333
104,000036,2020,-0.27688754478489086
105,000036,2021,-1.3925517885818126
106,000037,2018,-1.2343150809852064
107,000037,2019,-1.8430777506804856
108,000037,2020,-1.3607099602191541
109,000037,2021,0.17311976608203475
110,000038,2018,0.5600285815081506
111,000038,2019,-1.1607804358758749
112,000038,2020,-0.2201330857229724
113,000038,2021,0.514867482003353
114,000039,2018,0.6330084347040716
115,000039,2019,-0.5124463606970681
116,000039,2020,-1.4530552082232957
117,000039,2021,0.7492511922975831
118,000040,2018,-0.3796004836898963
119,000040,2019,-0.44494438966816224
120,000040,2020,-0.4800881000772637
121,000040,2021,0.3140661191377507
122,000042,2018,0.3325019221993218
123,000042,2019,-0.012653202711963246
124,000042,2020,0.6770638334817838
125,000042,2021,0.44569992342781095
126,000043,2018,0.12975196888381904
127,000043,2019,-1.39616148643817
128,000045,2018,-0.6527723906174396
129,000045,2019,-1.1049968320587487
130,000045,2020,0.155088221918321
131,000045,2021,-0.6052207538251004
132,000048,2018,-0.28326943587628733
133,000048,2019,-1.5234775815871915
134,000048,2020,-0.6901421480312596
135,000048,2021,-0.6320529839391341
136,000049,2018,-1.1404686571557496
137,000049,2019,-1.8024439254494546
138,000049,2020,-2.0223346879807957
139,000049,2021,-0.6031862866698922
140,000050,2018,-0.0320882101010666
141,000050,2019,-0.94479791326662
142,000050,2020,-0.5187911579665148
143,000050,2021,-0.305720094667016
144,000055,2018,-1.2708890553064582
145,000055,2019,-0.7431272757603921
146,000055,2020,-0.7923395104137628
147,000055,2021,-0.9251546981976442
148,000056,2018,1.1832632727204901
149,000056,2019,-1.7980372949527823
150,000056,2020,0.17621673563666337
151,000056,2021,-1.3712423957467446
152,000058,2018,-1.2356790207269217
153,000058,2019,-2.283125434777349
154,000058,2020,-0.12782255552011293
155,000058,2021,-0.3856292561805768
156,000059,2018,-0.049792335329480984
157,000059,2019,-0.08195981980401944
158,000059,2020,-0.8323735047111498
159,000059,2021,0.17737040730005738
160,000060,2018,-0.11269012838779092
161,000060,2019,-1.0574352134003537
162,000060,2020,-0.38954037368130845
163,000060,2021,-0.4892920026392221
164,000061,2018,-0.2312432789433852
165,000061,2019,-0.44682740039876595
166,000061,2020,-1.19182937231779
167,000061,2021,-0.115749500219605
168,000062,2018,-0.42884461789153167
169,000062,2019,-0.2355269048799258
170,000062,2020,-0.5419147191542881
171,000062,2021,-0.8066268913637861
172,000063,2018,1.0404091118939176
173,000063,2019,-1.1043977929557633
174,000063,2020,-0.4830152189798546
175,000063,2021,-0.40091598981616955
176,000065,2018,-0.739661307986004
177,000065,2019,-1.0454391468625077
178,000065,2020,0.32883082004528885
179,000065,2021,-1.3995546061553772
180,000066,2018,-0.3123208034160614
181,000066,2019,-1.2981047422545482
182,000066,2020,-1.043451222787955
183,000066,2021,-0.03128100295605823
184,000068,2018,-1.904056203535694
185,000068,2019,-1.029339715442713
186,000068,2020,-0.5208889910726743
187,000068,2021,0.24195474526825766
