,Stkcd,year,NCSKEW
0,000002,2018,0.06528348872425573
1,000002,2019,-0.2830945624318963
2,000002,2020,0.6417424270186936
3,000002,2021,0.2374197766658712
4,000004,2018,-0.7102659104021708
5,000004,2019,-0.32376620331995914
6,000004,2020,-2.3694763265761947
7,000004,2021,-1.3478682140066278
8,000006,2018,0.5534044966066493
9,000006,2019,-0.028917333142414604
10,000006,2020,0.38589096173893733
11,000006,2021,1.2845909253831527
12,000008,2018,0.9229548728902475
13,000008,2019,0.06873686705102901
14,000008,2020,1.0539096101156704
15,000008,2021,-3.6432606825272034
16,000009,2018,-1.9764178222321973
17,000009,2019,-2.5751573961650704
18,000009,2020,0.6821860419304471
19,000009,2021,-1.3921169327438188
20,000010,2018,0.34297214636894735
21,000010,2019,-0.0798611677795014
22,000010,2020,-0.20664104336357614
23,000010,2021,-0.4917500809053429
24,000011,2018,0.07653348433834176
25,000011,2019,0.21964301413655787
26,000011,2020,-0.30842985840005294
27,000011,2021,-1.6090025719975332
28,000012,2018,0.840068533114957
29,000012,2019,-1.825747967016515
30,000012,2020,-1.0205182157310357
31,000012,2021,-0.8919274110753925
32,000014,2018,-0.5263275525539202
33,000014,2019,-0.7572659610244225
34,000014,2020,1.0874665977677562
35,000014,2021,1.1389169318247852
36,000016,2018,0.056810136296823854
37,000016,2019,-1.7459913606055226
38,000016,2020,-1.726951808963789
39,000016,2021,-1.1422267176500882
40,000017,2018,-1.7601015061632155
41,000017,2019,-2.550542740728246
42,000017,2020,0.8999799197568915
43,000017,2021,-1.3936222955178763
44,000018,2018,1.4176492062300519
45,000018,2019,2.689309563681389
46,000018,2020,
47,000019,2018,-1.0956912577309834
48,000019,2019,0.15789230893976344
49,000019,2020,-2.578561973061826
50,000019,2021,-0.48573815795039904
51,000020,2018,-2.1116640348393476
52,000020,2019,0.05140156935645653
53,000020,2020,-0.4643278110928557
54,000020,2021,1.212995102866911
55,000021,2018,-0.10606707343309937
56,000021,2019,-2.2899070873685687
57,000021,2020,-0.9325201706970748
58,000021,2021,-0.286315776753506
59,000022,2018,1.203650352761404
60,000023,2018,-0.24231286777323063
61,000023,2019,-1.2255102912262819
62,000023,2020,0.19900696296146983
63,000023,2021,1.0176343956136207
64,000025,2018,-0.986378157553229
65,000025,2019,-1.8103490483553537
66,000025,2020,-0.5122788790186878
67,000025,2021,1.0645930088564677
68,000026,2018,-0.3146304967291256
69,000026,2019,-3.1872913350095935
70,000026,2020,-1.1330768374726465
71,000026,2021,0.6534910682320799
72,000027,2018,-0.5547538320467832
73,000027,2019,-0.8610702173379636
74,000027,2020,-0.6704907805285554
75,000027,2021,-1.2366696224070604
76,000028,2018,-0.04869335541396485
77,000028,2019,0.13098083491565174
78,000028,2020,0.81825357547385
79,000028,2021,1.3652489832069246
80,000029,2020,2.3569815137598176
81,000029,2021,-0.7084569632851198
82,000030,2018,-1.0763344624358633
83,000030,2019,-0.8853243641294648
84,000030,2020,-1.44380280393174
85,000030,2021,-0.1624586027229389
86,000031,2018,0.4761911326231488
87,000031,2019,-1.3152788635185626
88,000031,2020,1.3161176209006256
89,000031,2021,0.23576809417070355
90,000032,2018,-0.23161642854199602
91,000032,2019,-2.2470215975849475
92,000032,2020,-0.7673743015706567
93,000032,2021,-2.2214328664099288
94,000034,2018,0.12540606496411888
95,000034,2019,-1.7021273052780386
96,000034,2020,0.7580669152131396
97,000034,2021,0.7321406716809685
98,000035,2018,3.2478071321373374
99,000035,2019,-0.871377619262611
100,000035,2020,1.5811352339147913
101,000035,2021,-1.0230709894577428
102,000036,2018,-0.27796777500994096
103,000036,2019,0.27518885548688843
104,000036,2020,0.41603637872135135
105,000036,2021,-2.048292286459086
106,000037,2018,-1.6441817753682695
107,000037,2019,-2.2914311954753313
108,000037,2020,-1.5562111100226101
109,000037,2021,0.8429327571298318
110,000038,2018,1.6588718591182652
111,000038,2019,-1.2567364850147242
112,000038,2020,-0.09773776749581445
113,000038,2021,0.8437654112657546
114,000039,2018,0.9194027525299749
115,000039,2019,-0.057716393303137374
116,000039,2020,-2.017579718675598
117,000039,2021,0.7154334036933274
118,000040,2018,-0.2373666046200887
119,000040,2019,0.09531154070534228
120,000040,2020,0.14148338321111795
121,000040,2021,0.6203041800074134
