,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.607***(-4.85),-0.664***(-3.44),-11.334***(-7.12),-5.514***(-5.96)
ControlCrashRisk,0.024*(1.79),0.031**(2.49),-0.324***(-19.55),-0.323***(-20.81)
ANALYST,0.03**(1.98),0.036***(4.04),0.176***(5.04),0.078***(3.86)
Dturn,-0.046*(-1.9),-0.027*(-1.95),-0.151***(-4.44),-0.09***(-4.55)
RET,9.7***(3.96),6.22***(4.57),-9.381***(-3.05),-4.055**(-2.37)
SIGMA,1.688**(2.18),0.526(1.18),4.889***(4.57),2.478***(4.03)
PB,0.048***(3.64),0.028***(3.65),0.231***(10.01),0.114***(8.48)
ROA_TTM,-0.362*(-1.88),-0.185*(-1.65),0.732***(2.61),0.422***(2.59)
LEV,-0.227***(-2.99),-0.113**(-2.55),-0.324(-1.37),-0.075(-0.55)
SIZE,0.035**(2.21),-0.002(-0.19),0.413***(5.74),0.181***(4.32)
ACCM,-0.021(-0.09),0.113(0.88),0.6**(2.07),0.447***(2.66)
INS,-0.055(-1.04),-0.039(-1.26),0.229(0.83),0.052(0.33)
EX_INDAT,0.118***(3.86),0.043**(2.44),0.014(0.47),0.002(0.13)
AT,0.022(1.41),0.011(1.2),0.085***(3.76),0.045***(3.42)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.85,11.0,73.19,64.88
N_obs,7830,7830,7830,7830
