,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.598***(-4.99),-0.69***(-3.71),-11.573***(-7.4),-5.685***(-6.27)
ControlCrashRisk,0.02(1.49),0.028**(2.23),-0.329***(-20.23),-0.325***(-21.45)
ANALYST,0.027*(1.78),0.035***(4.01),0.169***(4.93),0.073***(3.68)
Dturn,-0.048**(-2.01),-0.028**(-2.04),-0.155***(-4.63),-0.089***(-4.57)
RET,8.845***(3.75),5.714***(4.36),-9.65***(-3.27),-4.189**(-2.56)
SIGMA,2.114***(2.83),0.829*(1.92),5.188***(5.02),2.699***(4.54)
PB,0.047***(3.61),0.026***(3.49),0.225***(10.03),0.11***(8.48)
ROA_TTM,-0.331*(-1.76),-0.159(-1.46),0.791***(2.92),0.454***(2.89)
LEV,-0.245***(-3.27),-0.122***(-2.81),-0.439*(-1.93),-0.135(-1.02)
SIZE,0.04***(2.56),0.002(0.21),0.425***(6.01),0.189***(4.61)
ACCM,0.089(0.41),0.185(1.47),0.67**(2.37),0.481***(2.94)
INS,-0.05(-0.95),-0.038(-1.25),0.231(0.85),0.063(0.4)
EX_INDAT,0.048*(1.75),0.012(0.77),-0.004(-0.13),-0.007(-0.47)
AT,0.023(1.5),0.01(1.09),0.088***(3.96),0.046***(3.57)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.12,10.43,78.8,69.94
N_obs,8039,8039,8039,8039
