,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.525***(-4.27),-0.625***(-3.02),-11.459***(-6.92),-5.82***(-6.07)
ControlCrashRisk,0.02(1.44),0.029**(2.19),-0.327***(-18.73),-0.325***(-20.02)
ANALYST,0.027*(1.72),0.035***(3.83),0.161***(4.41),0.066***(3.12)
Dturn,-0.057**(-2.28),-0.032**(-2.23),-0.141***(-3.96),-0.085***(-4.11)
RET,11.266***(4.34),6.991***(4.86),-8.636***(-2.63),-3.546*(-1.95)
SIGMA,1.319(1.62),0.351(0.75),5.145***(4.54),2.655***(4.08)
PB,0.045***(3.17),0.026***(3.2),0.233***(9.36),0.112***(7.78)
ROA_TTM,-0.429**(-2.11),-0.211*(-1.79),0.719**(2.39),0.411**(2.36)
LEV,-0.242***(-3.08),-0.113**(-2.49),-0.331(-1.34),-0.093(-0.65)
SIZE,0.04**(2.37),-0.001(-0.09),0.427***(5.69),0.199***(4.57)
ACCM,-0.091(-0.4),0.067(0.5),0.64**(2.09),0.468***(2.63)
INS,-0.075(-1.37),-0.048(-1.53),0.185(0.64),0.022(0.13)
EX_INDAT_read,0.131**(2.37),0.053*(1.66),-0.023(-0.44),-0.014(-0.44)
AT,0.02(1.2),0.011(1.13),0.074***(3.1),0.041***(2.95)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.27,9.86,65.26,58.36
N_obs,7402,7402,7402,7402
