,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.704***(-5.26),-0.736***(-3.91),-11.578***(-7.4),-5.685***(-6.27)
ControlCrashRisk,0.02(1.47),0.028**(2.22),-0.329***(-20.23),-0.326***(-21.46)
ANALYST,0.027*(1.83),0.035***(4.04),0.169***(4.92),0.073***(3.67)
Dturn,-0.049**(-2.05),-0.029**(-2.06),-0.155***(-4.63),-0.088***(-4.55)
RET,8.557***(3.62),5.609***(4.28),-9.683***(-3.28),-4.185**(-2.55)
SIGMA,2.121***(2.84),0.83*(1.93),5.177***(5.01),2.688***(4.52)
PB,0.047***(3.62),0.026***(3.49),0.225***(10.01),0.11***(8.45)
ROA_TTM,-0.328*(-1.75),-0.159(-1.45),0.789***(2.92),0.452***(2.88)
LEV,-0.244***(-3.26),-0.122***(-2.79),-0.437*(-1.92),-0.134(-1.02)
SIZE,0.044***(2.77),0.003(0.34),0.425***(6.01),0.189***(4.6)
ACCM,0.09(0.42),0.185(1.47),0.666**(2.36),0.478***(2.92)
INS,-0.05(-0.95),-0.038(-1.25),0.241(0.89),0.069(0.44)
EX_INDAT_read,0.589***(2.68),0.222*(1.74),0.083(0.41),0.02(0.17)
AT,0.022(1.44),0.009(1.05),0.087***(3.93),0.045***(3.54)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.44,10.62,78.81,69.93
N_obs,8039,8039,8039,8039
