,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.462***(-3.34),-0.498**(-1.96),-9.524***(-5.25),-4.919***(-4.68)
ControlCrashRisk,0.021(1.38),0.026*(1.84),-0.328***(-17.02),-0.327***(-18.27)
ANALYST,0.023(1.32),0.032***(3.26),0.179***(4.37),0.082***(3.48)
Dturn,-0.062**(-2.35),-0.034**(-2.24),-0.123***(-3.17),-0.077***(-3.42)
RET,12.973***(4.47),7.92***(4.94),-8.962**(-2.39),-3.939*(-1.9)
SIGMA,0.674(0.74),-0.091(-0.18),4.964***(3.85),2.328***(3.15)
PB,0.035**(2.23),0.019**(2.05),0.222***(8.11),0.1***(6.3)
ROA_TTM,-0.234(-1.02),-0.092(-0.7),0.886**(2.55),0.559***(2.79)
LEV,-0.217**(-2.55),-0.098**(-1.99),-0.421(-1.54),-0.179(-1.13)
SIZE,0.04**(2.17),-0.004(-0.35),0.354***(4.3),0.168***(3.52)
ACCM,-0.201(-0.79),0.036(0.24),0.386(1.12),0.403**(2.02)
INS,-0.079(-1.36),-0.046(-1.37),0.236(0.74),0.026(0.14)
EX_INDAT_read,0.251(1.49),0.081(0.83),-0.059(-0.44),-0.079(-1.0)
AT,0.004(0.2),0.003(0.26),0.04(1.57),0.026*(1.76)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,5.71,7.85,51.04,44.87
N_obs,6527,6527,6527,6527
