,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.471***(-4.19),-0.605***(-2.97),-11.469***(-6.93),-5.828***(-6.08)
ControlCrashRisk,0.02(1.45),0.028**(2.19),-0.326***(-18.72),-0.325***(-20.02)
ANALYST,0.027*(1.72),0.035***(3.83),0.161***(4.39),0.066***(3.11)
Dturn,-0.055**(-2.23),-0.032**(-2.2),-0.141***(-3.98),-0.085***(-4.13)
RET,11.248***(4.33),6.978***(4.85),-8.558***(-2.61),-3.519*(-1.93)
SIGMA,1.37*(1.68),0.371(0.79),5.149***(4.54),2.655***(4.08)
PB,0.044***(3.11),0.026***(3.15),0.23***(9.23),0.111***(7.68)
ROA_TTM,-0.426**(-2.09),-0.209*(-1.77),0.714**(2.38),0.409**(2.35)
LEV,-0.242***(-3.07),-0.113**(-2.48),-0.33(-1.34),-0.093(-0.65)
SIZE,0.036**(2.16),-0.002(-0.24),0.426***(5.68),0.198***(4.57)
ACCM,-0.093(-0.41),0.066(0.49),0.633**(2.06),0.465***(2.61)
INS,-0.075(-1.37),-0.048(-1.52),0.205(0.71),0.031(0.18)
EX_INDAT,0.008***(3.58),0.003***(2.59),0.001(0.48),0.0(0.27)
AT,0.018(1.12),0.01(1.07),0.072***(3.05),0.04***(2.92)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.83,10.17,65.27,58.35
N_obs,7402,7402,7402,7402
