,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.399***(-3.52),-0.517**(-2.25),-9.555***(-5.27),-4.981***(-4.75)
ControlCrashRisk,0.022(1.45),0.027*(1.88),-0.328***(-16.98),-0.326***(-18.24)
ANALYST,0.023(1.35),0.033***(3.3),0.179***(4.37),0.082***(3.48)
Dturn,-0.063**(-2.37),-0.035**(-2.26),-0.124***(-3.2),-0.077***(-3.44)
RET,12.862***(4.44),7.848***(4.9),-8.848**(-2.36),-3.872*(-1.87)
SIGMA,0.747(0.82),-0.064(-0.12),4.947***(3.84),2.298***(3.11)
PB,0.033**(2.13),0.018*(1.95),0.219***(8.01),0.098***(6.21)
ROA_TTM,-0.232(-1.02),-0.092(-0.7),0.882**(2.54),0.556***(2.77)
LEV,-0.216**(-2.54),-0.097**(-1.98),-0.417(-1.52),-0.178(-1.12)
SIZE,0.035**(1.96),-0.005(-0.49),0.352***(4.27),0.168***(3.52)
ACCM,-0.206(-0.81),0.032(0.22),0.379(1.1),0.4**(2.0)
INS,-0.079(-1.37),-0.046(-1.37),0.259(0.81),0.041(0.22)
EX_INDAT,0.007***(3.63),0.004***(3.13),0.001(0.64),0.0(0.15)
AT,0.003(0.16),0.002(0.23),0.039(1.54),0.025*(1.73)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,6.57,8.56,51.06,44.78
N_obs,6527,6527,6527,6527
