,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.523***(-4.63),-0.636***(-3.32),-11.304***(-7.1),-5.504***(-5.95)
ControlCrashRisk,0.024*(1.73),0.031**(2.47),-0.324***(-19.56),-0.323***(-20.82)
ANALYST,0.03**(1.98),0.036***(4.04),0.176***(5.02),0.078***(3.84)
Dturn,-0.046*(-1.92),-0.028**(-1.96),-0.152***(-4.45),-0.09***(-4.56)
RET,9.642***(3.93),6.211***(4.56),-9.334***(-3.03),-4.031**(-2.35)
SIGMA,1.742**(2.25),0.549(1.23),4.914***(4.59),2.486***(4.04)
PB,0.048***(3.59),0.028***(3.6),0.229***(9.89),0.113***(8.37)
ROA_TTM,-0.359*(-1.86),-0.185*(-1.65),0.729***(2.59),0.42***(2.57)
LEV,-0.227***(-2.99),-0.113**(-2.55),-0.32(-1.36),-0.073(-0.53)
SIZE,0.036**(2.24),-0.002(-0.17),0.411***(5.72),0.18***(4.31)
ACCM,-0.02(-0.09),0.113(0.88),0.595**(2.05),0.444***(2.64)
INS,-0.056(-1.04),-0.039(-1.26),0.244(0.88),0.061(0.38)
EX_INDAT,0.014***(4.23),0.006***(2.96),0.003(1.08),0.001(0.77)
AT,0.021(1.37),0.011(1.17),0.084***(3.71),0.044***(3.37)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.02,0.02,0.17,0.15
f_statistic,9.08,11.21,73.28,64.93
N_obs,7830,7830,7830,7830
