,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.708***(-5.28),-0.744***(-3.96),-11.578***(-7.4),-5.686***(-6.27)
ControlCrashRisk,0.02(1.46),0.028**(2.22),-0.329***(-20.24),-0.326***(-21.46)
ANALYST,0.027*(1.83),0.035***(4.05),0.169***(4.92),0.073***(3.67)
Dturn,-0.049**(-2.06),-0.029**(-2.06),-0.155***(-4.63),-0.088***(-4.56)
RET,8.486***(3.59),5.571***(4.25),-9.706***(-3.29),-4.201***(-2.56)
SIGMA,2.126***(2.85),0.832*(1.93),5.178***(5.01),2.687***(4.52)
PB,0.047***(3.6),0.026***(3.47),0.225***(10.0),0.11***(8.43)
ROA_TTM,-0.325*(-1.73),-0.157(-1.44),0.79***(2.92),0.452***(2.88)
LEV,-0.243***(-3.25),-0.121***(-2.78),-0.436*(-1.92),-0.133(-1.01)
SIZE,0.044***(2.8),0.003(0.38),0.425***(6.01),0.189***(4.6)
ACCM,0.089(0.41),0.184(1.46),0.665**(2.35),0.477***(2.92)
INS,-0.05(-0.95),-0.038(-1.25),0.243(0.9),0.071(0.45)
EX_INDAT_read,0.467***(2.99),0.194**(2.14),0.077(0.53),0.032(0.38)
AT,0.022(1.43),0.009(1.03),0.087***(3.92),0.045***(3.52)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.58,10.74,78.82,69.94
N_obs,8039,8039,8039,8039
