,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.67***(-5.32),-0.736***(-4.03),-11.611***(-7.63),-5.607***(-6.35)
ControlCrashRisk,0.019(1.43),0.027**(2.2),-0.329***(-20.53),-0.325***(-21.69)
ANALYST,0.028*(1.87),0.036***(4.12),0.174***(5.16),0.074***(3.76)
Dturn,-0.048**(-2.03),-0.028**(-2.04),-0.151***(-4.57),-0.087***(-4.5)
RET,7.247***(3.16),4.755***(3.75),-10.307***(-3.61),-4.574***(-2.88)
SIGMA,2.298***(3.15),0.912**(2.17),5.018***(4.97),2.654***(4.57)
PB,0.051***(4.03),0.029***(3.95),0.227***(10.4),0.112***(8.84)
ROA_TTM,-0.31*(-1.67),-0.142(-1.32),0.776***(2.94),0.441***(2.88)
LEV,-0.227***(-3.05),-0.111***(-2.57),-0.429*(-1.93),-0.146(-1.13)
SIZE,0.044***(2.82),0.004(0.42),0.427***(6.2),0.185***(4.64)
ACCM,0.107(0.5),0.21*(1.69),0.634**(2.29),0.463***(2.87)
INS,-0.055(-1.05),-0.041(-1.35),0.163(0.62),0.049(0.32)
EX_INDAT_read,0.447**(2.08),0.199(1.59),0.009(0.04),0.004(0.03)
AT,0.022(1.44),0.008(0.9),0.088***(4.05),0.045***(3.59)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.46,10.72,81.67,72.04
N_obs,8161,8161,8161,8161
