,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.66***(-5.3),-0.731***(-4.01),-11.613***(-7.63),-5.609***(-6.35)
ControlCrashRisk,0.019(1.44),0.027**(2.2),-0.329***(-20.53),-0.325***(-21.69)
ANALYST,0.028*(1.86),0.036***(4.11),0.174***(5.16),0.074***(3.76)
Dturn,-0.048**(-2.01),-0.028**(-2.03),-0.151***(-4.57),-0.087***(-4.5)
RET,7.196***(3.14),4.734***(3.73),-10.289***(-3.6),-4.556***(-2.87)
SIGMA,2.278***(3.13),0.903**(2.15),5.019***(4.97),2.655***(4.57)
PB,0.051***(4.07),0.029***(3.98),0.228***(10.41),0.112***(8.86)
ROA_TTM,-0.309*(-1.67),-0.142(-1.32),0.775***(2.93),0.441***(2.87)
LEV,-0.228***(-3.06),-0.111***(-2.58),-0.429*(-1.93),-0.147(-1.14)
SIZE,0.043***(2.75),0.003(0.37),0.427***(6.2),0.186***(4.64)
ACCM,0.114(0.53),0.214*(1.72),0.635**(2.29),0.463***(2.88)
INS,-0.055(-1.06),-0.041(-1.35),0.161(0.61),0.047(0.31)
EX_INDAT,0.026**(2.29),0.011*(1.65),-0.001(-0.1),-0.001(-0.21)
AT,0.021(1.43),0.008(0.89),0.089***(4.06),0.046***(3.6)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.53,10.73,81.67,72.05
N_obs,8161,8161,8161,8161
