,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.603***(-4.82),-0.678***(-3.51),-11.349***(-7.13),-5.531***(-5.98)
ControlCrashRisk,0.023*(1.69),0.031**(2.45),-0.324***(-19.58),-0.323***(-20.83)
ANALYST,0.031**(2.02),0.036***(4.07),0.176***(5.04),0.078***(3.85)
Dturn,-0.049**(-2.01),-0.028**(-2.02),-0.153***(-4.48),-0.091***(-4.58)
RET,9.428***(3.84),6.123***(4.5),-9.448***(-3.07),-4.083**(-2.38)
SIGMA,1.679**(2.17),0.524(1.17),4.887***(4.57),2.472***(4.02)
PB,0.048***(3.64),0.028***(3.62),0.23***(9.98),0.113***(8.39)
ROA_TTM,-0.351*(-1.82),-0.182(-1.62),0.735***(2.62),0.421***(2.58)
LEV,-0.225***(-2.96),-0.112**(-2.53),-0.322(-1.37),-0.073(-0.53)
SIZE,0.039**(2.45),0.0(0.0),0.413***(5.75),0.181***(4.33)
ACCM,-0.023(-0.1),0.111(0.87),0.596**(2.06),0.442***(2.63)
INS,-0.056(-1.04),-0.039(-1.26),0.235(0.85),0.062(0.38)
EX_INDAT_read,0.268***(3.45),0.123***(2.72),0.057(0.77),0.042(0.98)
AT,0.023(1.5),0.011(1.25),0.085***(3.78),0.045***(3.4)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.61,11.11,73.23,64.96
N_obs,7830,7830,7830,7830
