,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.676***(-4.02),-0.655***(-2.71),-9.683***(-5.34),-5.014***(-4.77)
ControlCrashRisk,0.023(1.48),0.027*(1.93),-0.327***(-16.94),-0.326***(-18.22)
ANALYST,0.024(1.37),0.033***(3.31),0.179***(4.38),0.082***(3.48)
Dturn,-0.062**(-2.34),-0.034**(-2.23),-0.124***(-3.2),-0.077***(-3.45)
RET,12.886***(4.44),7.871***(4.91),-8.798**(-2.35),-3.857*(-1.86)
SIGMA,0.726(0.8),-0.074(-0.14),4.951***(3.84),2.299***(3.12)
PB,0.033**(2.13),0.018*(1.95),0.219***(7.99),0.098***(6.18)
ROA_TTM,-0.235(-1.03),-0.094(-0.71),0.875**(2.52),0.554***(2.76)
LEV,-0.218***(-2.56),-0.098**(-2.0),-0.423(-1.54),-0.179(-1.13)
SIZE,0.034*(1.91),-0.006(-0.53),0.354***(4.29),0.168***(3.52)
ACCM,-0.204(-0.8),0.033(0.23),0.382(1.11),0.4**(2.0)
INS,-0.078(-1.34),-0.045(-1.35),0.258(0.81),0.043(0.23)
EX_INDAT,0.175***(3.53),0.087***(3.03),0.046(1.03),0.013(0.49)
AT,0.004(0.22),0.003(0.28),0.039(1.53),0.025*(1.72)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,6.51,8.51,51.12,44.8
N_obs,6527,6527,6527,6527
