,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.629***(-4.88),-0.683***(-3.51),-11.353***(-7.13),-5.533***(-5.98)
ControlCrashRisk,0.023*(1.72),0.031**(2.47),-0.324***(-19.57),-0.323***(-20.82)
ANALYST,0.031**(2.02),0.036***(4.07),0.177***(5.05),0.078***(3.86)
Dturn,-0.048**(-1.99),-0.028**(-2.01),-0.152***(-4.47),-0.091***(-4.57)
RET,9.572***(3.9),6.185***(4.54),-9.402***(-3.06),-4.052**(-2.36)
SIGMA,1.661**(2.15),0.516(1.16),4.883***(4.56),2.469***(4.01)
PB,0.048***(3.63),0.028***(3.62),0.231***(9.98),0.113***(8.4)
ROA_TTM,-0.358*(-1.86),-0.184*(-1.65),0.733***(2.61),0.42***(2.57)
LEV,-0.226***(-2.97),-0.112**(-2.54),-0.324(-1.37),-0.074(-0.54)
SIZE,0.039**(2.44),-0.0(-0.02),0.413***(5.75),0.181***(4.33)
ACCM,-0.022(-0.1),0.112(0.88),0.598**(2.07),0.444***(2.64)
INS,-0.055(-1.03),-0.039(-1.26),0.233(0.84),0.06(0.37)
EX_INDAT_read,0.456***(3.3),0.193**(2.4),0.08(0.61),0.057(0.75)
AT,0.024(1.52),0.012(1.27),0.086***(3.79),0.045***(3.41)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.53,10.98,73.21,64.93
N_obs,7830,7830,7830,7830
