,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.647***(-5.25),-0.725***(-3.98),-11.612***(-7.63),-5.607***(-6.35)
ControlCrashRisk,0.019(1.43),0.027**(2.2),-0.329***(-20.53),-0.325***(-21.68)
ANALYST,0.027*(1.85),0.035***(4.1),0.174***(5.16),0.074***(3.76)
Dturn,-0.048**(-2.02),-0.028**(-2.04),-0.151***(-4.56),-0.087***(-4.5)
RET,7.266***(3.17),4.768***(3.75),-10.317***(-3.61),-4.562***(-2.87)
SIGMA,2.275***(3.12),0.902**(2.14),5.016***(4.97),2.655***(4.57)
PB,0.052***(4.09),0.029***(4.0),0.227***(10.41),0.112***(8.85)
ROA_TTM,-0.308*(-1.67),-0.142(-1.32),0.776***(2.94),0.441***(2.87)
LEV,-0.228***(-3.07),-0.112***(-2.59),-0.429*(-1.93),-0.146(-1.13)
SIZE,0.043***(2.74),0.003(0.36),0.427***(6.2),0.186***(4.64)
ACCM,0.115(0.54),0.214*(1.72),0.635**(2.29),0.463***(2.88)
INS,-0.055(-1.06),-0.041(-1.35),0.163(0.62),0.048(0.32)
EX_INDAT,0.043(1.37),0.018(0.97),0.003(0.09),-0.002(-0.09)
AT,0.022(1.49),0.008(0.94),0.088***(4.05),0.046***(3.6)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.27,10.59,81.67,72.04
N_obs,8161,8161,8161,8161
