,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.66***(-8.05),-0.731***(-3.88),-11.613***(-6.35),-5.609***(-6.1)
ControlCrashRisk,0.019(0.84),0.027(0.97),-0.329**(-2.41),-0.325**(-2.33)
ANALYST,0.028(0.76),0.036*(1.71),0.174***(6.66),0.074***(4.54)
Dturn,-0.048*(-1.75),-0.028(-1.16),-0.151**(-2.52),-0.087***(-2.72)
RET,7.196*(1.88),4.734(1.48),-10.289*(-1.71),-4.556*(-1.66)
SIGMA,2.278*(1.84),0.903(1.22),5.019*(1.95),2.655**(2.11)
PB,0.051***(3.64),0.029***(4.59),0.228***(8.02),0.112***(5.75)
ROA_TTM,-0.309(-1.03),-0.142(-0.74),0.775***(3.23),0.441***(3.4)
LEV,-0.228***(-5.06),-0.111***(-4.13),-0.429**(-2.22),-0.147(-1.3)
SIZE,0.043***(9.26),0.003(0.64),0.427***(5.4),0.186***(4.8)
ACCM,0.114(0.95),0.214(1.49),0.635***(2.76),0.463***(2.65)
INS,-0.055(-0.77),-0.041(-1.03),0.161(0.63),0.047(0.35)
EX_INDAT,0.026**(2.38),0.011*(1.76),-0.001(-0.07),-0.001(-0.14)
AT,0.021***(4.64),0.008*(1.77),0.089**(2.25),0.046**(2.36)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.53,10.73,81.67,72.05
N_obs,8161,8161,8161,8161
