,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.576***(-5.33),-0.643***(-2.78),-11.436***(-5.59),-5.802***(-5.97)
ControlCrashRisk,0.021(1.0),0.029(1.03),-0.327**(-2.31),-0.325**(-2.26)
ANALYST,0.027(0.8),0.035*(1.85),0.161***(5.68),0.066***(3.44)
Dturn,-0.055**(-1.98),-0.031(-1.3),-0.142**(-2.44),-0.085***(-2.83)
RET,11.33***(3.16),7.012**(2.05),-8.716(-1.24),-3.599(-1.05)
SIGMA,1.311(1.04),0.347(0.47),5.156**(1.99),2.664*(1.94)
PB,0.044***(2.73),0.026***(3.68),0.234***(8.1),0.113***(5.21)
ROA_TTM,-0.431**(-2.36),-0.211(-1.48),0.723**(2.5),0.414**(2.44)
LEV,-0.242***(-3.55),-0.113***(-2.86),-0.333(-1.33),-0.094(-0.76)
SIZE,0.035***(4.08),-0.003(-0.38),0.427***(4.78),0.199***(4.81)
ACCM,-0.095(-0.43),0.065(0.35),0.641**(2.27),0.469***(2.57)
INS,-0.073(-1.01),-0.048(-1.22),0.182(0.65),0.019(0.14)
EX_INDAT,0.109***(4.66),0.043***(2.83),-0.026(-0.7),-0.019(-0.79)
AT,0.019***(14.13),0.011***(6.27),0.074*(1.79),0.041*(1.83)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.38,9.89,65.29,58.4
N_obs,7402,7402,7402,7402
