,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.607***(-6.17),-0.664***(-3.16),-11.334***(-5.9),-5.514***(-5.38)
ControlCrashRisk,0.024(1.08),0.031(1.1),-0.324**(-2.35),-0.323**(-2.32)
ANALYST,0.03(0.84),0.036*(1.72),0.176***(6.55),0.078***(4.67)
Dturn,-0.046*(-1.66),-0.027(-1.12),-0.151**(-2.41),-0.09***(-2.73)
RET,9.7***(2.73),6.22*(1.91),-9.381(-1.42),-4.055(-1.29)
SIGMA,1.688(1.42),0.526(0.75),4.889*(1.84),2.478*(1.83)
PB,0.048***(3.54),0.028***(5.24),0.231***(7.48),0.114***(5.39)
ROA_TTM,-0.362(-1.37),-0.185(-0.99),0.732***(2.84),0.422***(2.73)
LEV,-0.227***(-5.28),-0.113***(-4.19),-0.324(-1.52),-0.075(-0.59)
SIZE,0.035***(5.51),-0.002(-0.27),0.413***(5.01),0.181***(4.27)
ACCM,-0.021(-0.15),0.113(0.77),0.6**(2.56),0.447***(2.68)
INS,-0.055(-0.81),-0.039(-1.04),0.229(0.85),0.052(0.37)
EX_INDAT,0.118***(6.85),0.043***(3.99),0.014(0.48),0.002(0.14)
AT,0.022***(8.12),0.011***(3.66),0.085**(2.12),0.045**(2.24)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.85,11.0,73.19,64.88
N_obs,7830,7830,7830,7830
