,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.523***(-6.4),-0.636***(-3.19),-11.304***(-5.82),-5.504***(-5.31)
ControlCrashRisk,0.024(1.06),0.031(1.1),-0.324**(-2.35),-0.323**(-2.32)
ANALYST,0.03(0.84),0.036*(1.72),0.176***(6.49),0.078***(4.67)
Dturn,-0.046*(-1.68),-0.028(-1.12),-0.152**(-2.42),-0.09***(-2.75)
RET,9.642***(2.88),6.211*(1.95),-9.334(-1.4),-4.031(-1.27)
SIGMA,1.742(1.47),0.549(0.78),4.914*(1.86),2.486*(1.84)
PB,0.048***(3.38),0.028***(4.86),0.229***(7.63),0.113***(5.62)
ROA_TTM,-0.359(-1.36),-0.185(-0.98),0.729***(2.84),0.42***(2.73)
LEV,-0.227***(-5.37),-0.113***(-4.26),-0.32(-1.5),-0.073(-0.58)
SIZE,0.036***(5.7),-0.002(-0.25),0.411***(4.94),0.18***(4.23)
ACCM,-0.02(-0.16),0.113(0.78),0.595***(2.56),0.444***(2.7)
INS,-0.056(-0.81),-0.039(-1.04),0.244(0.9),0.061(0.43)
EX_INDAT,0.014***(10.72),0.006***(5.49),0.003(1.14),0.001(0.64)
AT,0.021***(6.59),0.011***(3.24),0.084**(2.06),0.044**(2.16)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.02,0.02,0.17,0.15
f_statistic,9.08,11.21,73.28,64.93
N_obs,7830,7830,7830,7830
