,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.603***(-7.36),-0.697***(-3.59),-11.562***(-6.23),-5.684***(-5.72)
ControlCrashRisk,0.021(0.93),0.028(0.98),-0.328**(-2.41),-0.326**(-2.35)
ANALYST,0.027(0.75),0.035*(1.74),0.168***(6.31),0.073***(4.67)
Dturn,-0.047*(-1.84),-0.028(-1.21),-0.155**(-2.55),-0.088***(-2.77)
RET,8.845**(2.44),5.707*(1.75),-9.605(-1.48),-4.177(-1.43)
SIGMA,2.137*(1.76),0.834(1.14),5.182**(1.97),2.69**(2.08)
PB,0.046***(3.25),0.026***(3.73),0.224***(7.43),0.11***(5.53)
ROA_TTM,-0.331(-1.19),-0.16(-0.87),0.787***(3.2),0.452***(3.26)
LEV,-0.244***(-6.8),-0.122***(-4.88),-0.437**(-2.11),-0.135(-1.19)
SIZE,0.04***(7.66),0.002(0.32),0.424***(5.28),0.189***(4.54)
ACCM,0.088(0.64),0.184(1.24),0.665***(2.9),0.479***(2.8)
INS,-0.049(-0.71),-0.038(-1.02),0.241(0.9),0.067(0.46)
EX_INDAT,0.018***(4.82),0.006**(2.21),0.002(0.39),-0.0(-0.05)
AT,0.022***(4.66),0.009**(2.15),0.087**(2.29),0.046**(2.45)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.68,10.69,78.81,69.92
N_obs,8039,8039,8039,8039
