,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.672***(-7.89),-0.738***(-3.88),-11.607***(-6.34),-5.605***(-6.05)
ControlCrashRisk,0.019(0.85),0.027(0.97),-0.33**(-2.41),-0.325**(-2.33)
ANALYST,0.028(0.76),0.036*(1.7),0.174***(6.63),0.073***(4.51)
Dturn,-0.048*(-1.77),-0.028(-1.17),-0.152**(-2.56),-0.087***(-2.77)
RET,7.212*(1.94),4.736(1.5),-10.337*(-1.72),-4.593*(-1.67)
SIGMA,2.3*(1.85),0.913(1.22),5.021*(1.95),2.656**(2.1)
PB,0.051***(3.55),0.029***(4.4),0.227***(7.87),0.112***(5.76)
ROA_TTM,-0.309(-1.02),-0.142(-0.73),0.776***(3.24),0.441***(3.41)
LEV,-0.227***(-5.0),-0.111***(-4.12),-0.427**(-2.21),-0.145(-1.3)
SIZE,0.044***(9.09),0.004(0.72),0.427***(5.4),0.185***(4.77)
ACCM,0.105(0.92),0.21(1.5),0.632***(2.8),0.461***(2.71)
INS,-0.055(-0.77),-0.041(-1.03),0.165(0.65),0.05(0.37)
EX_INDAT_read,0.401***(2.93),0.186**(2.05),0.045(0.21),0.028(0.2)
AT,0.021***(5.36),0.008*(1.86),0.088**(2.23),0.045**(2.32)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.56,10.8,81.68,72.05
N_obs,8161,8161,8161,8161
