,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.598***(-7.0),-0.69***(-3.55),-11.573***(-6.27),-5.685***(-5.74)
ControlCrashRisk,0.02(0.89),0.028(0.97),-0.329**(-2.41),-0.325**(-2.35)
ANALYST,0.027(0.75),0.035*(1.73),0.169***(6.34),0.073***(4.67)
Dturn,-0.048*(-1.84),-0.028(-1.21),-0.155***(-2.58),-0.089***(-2.8)
RET,8.845**(2.33),5.714*(1.72),-9.65(-1.48),-4.189(-1.43)
SIGMA,2.114*(1.73),0.829(1.13),5.188**(1.97),2.699**(2.09)
PB,0.047***(3.39),0.026***(3.96),0.225***(7.35),0.11***(5.34)
ROA_TTM,-0.331(-1.18),-0.159(-0.87),0.791***(3.2),0.454***(3.26)
LEV,-0.245***(-6.63),-0.122***(-4.76),-0.439**(-2.13),-0.135(-1.19)
SIZE,0.04***(7.17),0.002(0.32),0.425***(5.34),0.189***(4.57)
ACCM,0.089(0.63),0.185(1.23),0.67***(2.88),0.481***(2.77)
INS,-0.05(-0.72),-0.038(-1.03),0.231(0.88),0.063(0.45)
EX_INDAT,0.048***(4.01),0.012**(2.07),-0.004(-0.18),-0.007(-0.59)
AT,0.023***(4.79),0.01**(2.23),0.088**(2.36),0.046**(2.54)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.16
f_statistic,8.12,10.43,78.8,69.94
N_obs,8039,8039,8039,8039
