,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.335***(-3.03),-0.448(-1.52),-9.512***(-3.98),-4.922***(-4.69)
ControlCrashRisk,0.021(1.07),0.026(0.9),-0.329**(-2.31),-0.327**(-2.33)
ANALYST,0.023(0.65),0.032*(1.83),0.179***(5.37),0.082***(3.48)
Dturn,-0.062***(-2.62),-0.034(-1.54),-0.122*(-1.81),-0.076**(-2.13)
RET,12.901***(3.03),7.903**(2.11),-8.947(-1.31),-3.905(-1.16)
SIGMA,0.691(0.46),-0.084(-0.1),4.976*(1.82),2.334(1.52)
PB,0.035*(1.89),0.019**(1.96),0.222***(7.44),0.1***(4.61)
ROA_TTM,-0.23*(-1.79),-0.091(-1.31),0.883**(2.48),0.556***(2.93)
LEV,-0.217***(-4.15),-0.098***(-2.75),-0.425*(-1.67),-0.183(-1.12)
SIZE,0.039***(2.91),-0.004(-0.47),0.355***(3.36),0.168***(3.68)
ACCM,-0.199(-0.69),0.036(0.19),0.39(1.3),0.406**(2.01)
INS,-0.079(-1.02),-0.046(-1.12),0.228(0.68),0.021(0.13)
EX_INDAT_read,0.063(1.05),0.017(0.36),-0.04(-0.89),-0.041(-1.04)
AT,0.003(0.6),0.003(0.6),0.04(0.92),0.026(1.09)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,5.65,7.82,51.09,44.98
N_obs,6527,6527,6527,6527
