,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.522***(-5.19),-0.618**(-2.49),-11.416***(-5.62),-5.802***(-5.99)
ControlCrashRisk,0.02(0.98),0.029(1.03),-0.327**(-2.32),-0.325**(-2.26)
ANALYST,0.027(0.8),0.035*(1.85),0.161***(5.7),0.066***(3.44)
Dturn,-0.057**(-1.99),-0.032(-1.3),-0.14**(-2.4),-0.085***(-2.84)
RET,11.315***(3.13),7.01**(2.04),-8.718(-1.25),-3.572(-1.05)
SIGMA,1.302(1.04),0.345(0.47),5.166**(2.01),2.666**(1.96)
PB,0.045***(2.71),0.027***(3.72),0.234***(8.63),0.113***(5.35)
ROA_TTM,-0.432**(-2.29),-0.212(-1.46),0.726**(2.51),0.414**(2.48)
LEV,-0.243***(-3.55),-0.114***(-2.84),-0.329(-1.32),-0.092(-0.74)
SIZE,0.039***(3.96),-0.001(-0.16),0.426***(4.77),0.198***(4.83)
ACCM,-0.091(-0.42),0.067(0.36),0.643**(2.26),0.469***(2.56)
INS,-0.074(-1.02),-0.048(-1.23),0.173(0.61),0.018(0.12)
EX_INDAT_read,0.229***(2.77),0.085(1.22),-0.112(-1.07),-0.052(-0.57)
AT,0.02***(23.62),0.011***(6.27),0.074*(1.78),0.041*(1.83)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.16,0.15
f_statistic,7.08,9.74,65.33,58.39
N_obs,7402,7402,7402,7402
