,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.676***(-4.54),-0.655***(-2.81),-9.683***(-4.06),-5.014***(-4.71)
ControlCrashRisk,0.023(1.13),0.027(0.93),-0.327**(-2.28),-0.326**(-2.31)
ANALYST,0.024(0.67),0.033*(1.84),0.179***(5.38),0.082***(3.49)
Dturn,-0.062***(-2.61),-0.034(-1.55),-0.124*(-1.85),-0.077**(-2.17)
RET,12.886***(3.04),7.871**(2.12),-8.798(-1.27),-3.857(-1.12)
SIGMA,0.726(0.48),-0.074(-0.08),4.951*(1.8),2.299(1.47)
PB,0.033*(1.81),0.018*(1.81),0.219***(7.03),0.098***(4.45)
ROA_TTM,-0.235*(-1.9),-0.094(-1.34),0.875**(2.44),0.554***(2.9)
LEV,-0.218***(-4.24),-0.098***(-2.77),-0.423*(-1.66),-0.179(-1.06)
SIZE,0.034***(3.05),-0.006(-0.7),0.354***(3.39),0.168***(3.65)
ACCM,-0.204(-0.71),0.033(0.17),0.382(1.29),0.4**(1.99)
INS,-0.078(-1.01),-0.045(-1.11),0.258(0.77),0.043(0.26)
EX_INDAT,0.175***(7.03),0.087***(3.58),0.046(1.21),0.013(0.53)
AT,0.004(0.66),0.003(0.65),0.039(0.9),0.025(1.07)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,6.51,8.51,51.12,44.8
N_obs,6527,6527,6527,6527
