,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.603***(-5.87),-0.678***(-3.07),-11.349***(-5.9),-5.531***(-5.34)
ControlCrashRisk,0.023(1.02),0.031(1.09),-0.324**(-2.35),-0.323**(-2.32)
ANALYST,0.031(0.85),0.036*(1.72),0.176***(6.51),0.078***(4.68)
Dturn,-0.049*(-1.76),-0.028(-1.16),-0.153**(-2.46),-0.091***(-2.83)
RET,9.428***(2.75),6.123*(1.93),-9.448(-1.43),-4.083(-1.27)
SIGMA,1.679(1.4),0.524(0.74),4.887*(1.85),2.472*(1.83)
PB,0.048***(3.21),0.028***(4.54),0.23***(7.76),0.113***(5.63)
ROA_TTM,-0.351(-1.29),-0.182(-0.95),0.735***(2.88),0.421***(2.71)
LEV,-0.225***(-5.27),-0.112***(-4.2),-0.322(-1.51),-0.073(-0.58)
SIZE,0.039***(5.28),0.0(0.0),0.413***(5.0),0.181***(4.25)
ACCM,-0.023(-0.18),0.111(0.78),0.596***(2.56),0.442***(2.69)
INS,-0.056(-0.8),-0.039(-1.03),0.235(0.86),0.062(0.43)
EX_INDAT_read,0.268***(3.63),0.123***(2.6),0.057(0.79),0.042(0.83)
AT,0.023***(7.15),0.011***(3.49),0.085**(2.1),0.045**(2.21)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.17,0.15
f_statistic,8.61,11.11,73.23,64.96
N_obs,7830,7830,7830,7830
