,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.67***(-7.66),-0.736***(-3.8),-11.611***(-6.37),-5.607***(-6.08)
ControlCrashRisk,0.019(0.85),0.027(0.97),-0.329**(-2.41),-0.325**(-2.33)
ANALYST,0.028(0.76),0.036*(1.7),0.174***(6.65),0.074***(4.52)
Dturn,-0.048*(-1.76),-0.028(-1.16),-0.151**(-2.55),-0.087***(-2.76)
RET,7.247*(1.93),4.755(1.5),-10.307*(-1.72),-4.574*(-1.67)
SIGMA,2.298*(1.84),0.912(1.22),5.018*(1.95),2.654**(2.1)
PB,0.051***(3.57),0.029***(4.44),0.227***(7.9),0.112***(5.76)
ROA_TTM,-0.31(-1.03),-0.142(-0.73),0.776***(3.24),0.441***(3.41)
LEV,-0.227***(-5.0),-0.111***(-4.13),-0.429**(-2.21),-0.146(-1.3)
SIZE,0.044***(8.75),0.004(0.69),0.427***(5.42),0.185***(4.78)
ACCM,0.107(0.93),0.21(1.5),0.634***(2.81),0.463***(2.72)
INS,-0.055(-0.77),-0.041(-1.02),0.163(0.64),0.049(0.36)
EX_INDAT_read,0.447**(2.35),0.199(1.57),0.009(0.03),0.004(0.02)
AT,0.022***(5.41),0.008*(1.89),0.088**(2.24),0.045**(2.33)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.18,0.16
f_statistic,8.46,10.72,81.67,72.04
N_obs,8161,8161,8161,8161
